model,latency_s,throughput_tps,ram_mb,gpu_mb,output_length,vocab_diversity
DistilGPT2,0.7604206162000082,100.95204985061623,110.7984375,717.875,98.8,0.6436363636363637
Falcon-7B,4.998052405200179,11.306516189345132,2.115625,11613.875,252.8,0.737981683793459
Pythia-2.8B,4.912027927399959,11.540945316483002,5.146875,3623.875,258.6,0.5904466515366573
